abstract,keywords
"The purpose of this study was to evaluate the quality of adverse drug reaction (ADR) documentation in a state-wide electronic health record (EHR), and to assess the impact of the interface design on documentation accuracy and ability to provide decision support. Data were extracted from 43 011 unique records in a state-wide electronic health record in South Australia, Australia. Information obtained included ADR coding as allergy or intolerance, allergen name, reaction, and occupation of those entering data. Categorization into drug allergy or intolerance was assessed for accuracy. Reactions were entered predominantly by nurses (60.1%), also by doctors (31.0%) and pharmacists (6.1%). Of 27 314 reactions, 86.5% were coded as allergy and 13.5% as intolerance. The majority (78.2%) described reactions to drugs (as opposed to food, environmental or contact allergens), predominantly chosen from the drug database (96.4%). Many entries used free text for the reaction description (27.4%). Terms found in the predefined list under the allergy heading were more likely to be categorized as allergy, even when the mechanism was pharmacological intolerance. Only 45.1% (n = 1671/3705) of reactions consistent with intolerance (eg, ""nausea,"" ""diarrhea"") were correctly categorized as such, although categorization by pharmacists was more accurate (P < .0001). These data suggest that ADR categorization as allergy or intolerance is influenced by the EHR design. The obligatory classification of ADRs into allergy or intolerance was not well understood and does not appear to have practical benefit.",adverse drug reactions | drug allergy | electronic health record
"Suicidal ideation is a risk factor for self-harm, completed suicide and can be indicative of mental health issues. Adolescents are a particularly vulnerable group, but few studies have examined suicidal behaviour prevalence in large cohorts. Electronic Health Records (EHRs) are a rich source of secondary health care data that could be used to estimate prevalence. Most EHR documentation related to suicide risk is written in free text, thus requiring Natural Language Processing (NLP) approaches. We adapted and evaluated a simple lexicon- and rule-based NLP approach to identify suicidal adolescents from a large EHR database. We developed a comprehensive manually annotated EHR reference standard and assessed NLP performance at both document and patient level on data from 200 patients ( 5000 documents). We achieved promising results (>80% f1 score at both document and patient level). Simple NLP approaches can be successfully used to identify patients who exhibit suicidal risk behaviour, and our proposed approach could be useful for other populations and settings.",Electronic Health Records | Natural Language Processing | Suicide
"BACKGROUND: Free-text descriptions in electronic health records (EHRs) can be of interest for clinical research and care optimization. However, free text cannot be readily interpreted by a computer and, therefore, has limited value. Natural Language Processing (NLP) algorithms can make free text machine-interpretable by attaching ontology concepts to it. However, implementations of NLP algorithms are not evaluated consistently. Therefore, the objective of this study was to review the current methods used for developing and evaluating NLP algorithms that map clinical text fragments onto ontology concepts. To standardize the evaluation of algorithms and reduce heterogeneity between studies, we propose a list of recommendations. METHODS: Two reviewers examined publications indexed by Scopus, IEEE, MEDLINE, EMBASE, the ACM Digital Library, and the ACL Anthology. Publications reporting on NLP for mapping clinical text from EHRs to ontology concepts were included. Year, country, setting, objective, evaluation and validation methods, NLP algorithms, terminology systems, dataset size and language, performance measures, reference standard, generalizability, operational use, and source code availability were extracted. The studies' objectives were categorized by way of induction. These results were used to define recommendations. RESULTS: Two thousand three hundred fifty five unique studies were identified. Two hundred fifty six studies reported on the development of NLP algorithms for mapping free text to ontology concepts. Seventy-seven described development and evaluation. Twenty-two studies did not perform a validation on unseen data and 68 studies did not perform external validation. Of 23 studies that claimed that their algorithm was generalizable, 5 tested this by external validation. A list of sixteen recommendations regarding the usage of NLP systems and algorithms, usage of data, evaluation and validation, presentation of results, and generalizability of results was developed. CONCLUSION: We found many heterogeneous approaches to the reporting on the development and evaluation of NLP algorithms that map clinical text to ontology concepts. Over one-fourth of the identified publications did not perform an evaluation. In addition, over one-fourth of the included studies did not perform a validation, and 88% did not perform external validation. We believe that our recommendations, alongside an existing reporting standard, will increase the reproducibility and reusability of future studies and NLP algorithms in medicine.",Annotation | Concept mapping | Entity linking | Evaluation studies | Named-entity recognition | Natural language processing | Ontologies | Recommendations for future studies
"BACKGROUND: Social and behavioral determinants of health (SBDH) are environmental and behavioral factors that often impede disease management and result in sexually transmitted infections. Despite their importance, SBDH are inconsistently documented in electronic health records (EHRs) and typically collected only in an unstructured format. Evidence suggests that structured data elements present in EHRs can contribute further to identify SBDH in the patient record. OBJECTIVE: Explore the automated inference of both the presence of SBDH documentation and individual SBDH risk factors in patient records. Compare the relative ability of clinical notes and structured EHR data, such as laboratory measurements and diagnoses, to support inference. METHODS: We attempt to infer the presence of SBDH documentation in patient records, as well as patient status of 11 SBDH, including alcohol abuse, homelessness, and sexual orientation. We compare classification performance when considering clinical notes only, structured data only, and notes and structured data together. We perform an error analysis across several SBDH risk factors. RESULTS: Classification models inferring the presence of SBDH documentation achieved good performance (F1 score: 92.7-78.7; F1 considered as the primary evaluation metric). Performance was variable for models inferring patient SBDH risk status; results ranged from F1 = 82.7 for LGBT (lesbian, gay, bisexual, and transgender) status to F1 = 28.5 for intravenous drug use. Error analysis demonstrated that lexical diversity and documentation of historical SBDH status challenge inference of patient SBDH status. Three of five classifiers inferring topic-specific SBDH documentation and 10 of 11 patient SBDH status classifiers achieved highest performance when trained using both clinical notes and structured data. CONCLUSION: Our findings suggest that combining clinical free-text notes and structured data provide the best approach in classifying patient SBDH status. Inferring patient SBDH status is most challenging among SBDH with low prevalence and high lexical diversity.",
"OBJECTIVE: The aim of this study was to systematically assess the application and potential benefits of natural language processing (NLP) in surgical outcomes research. SUMMARY BACKGROUND DATA: Widespread implementation of electronic health records (EHRs) has generated a massive patient data source. Traditional methods of data capture, such as billing codes and/or manual review of free-text narratives in EHRs, are highly labor-intensive, costly, subjective, and potentially prone to bias. METHODS: A literature search of PubMed, MEDLINE, Web of Science, and Embase identified all articles published starting in 2000 that used NLP models to assess perioperative surgical outcomes. Evaluation metrics of NLP systems were assessed by means of pooled analysis and meta-analysis. Qualitative synthesis was carried out to assess the results and risk of bias on outcomes. RESULTS: The present study included 29 articles, with over half (n = 15) published after 2018. The most common outcome identified using NLP was postoperative complications (n = 14). Compared to traditional non-NLP models, NLP models identified postoperative complications with higher sensitivity [0.92 (0.87-0.95) vs 0.58 (0.33-0.79), P < 0.001]. The specificities were comparable at 0.99 (0.96-1.00) and 0.98 (0.95-0.99), respectively. Using summary of likelihood ratio matrices, traditional non-NLP models have clinical utility for confirming documentation of outcomes/diagnoses, whereas NLP models may be reliably utilized for both confirming and ruling out documentation of outcomes/diagnoses. CONCLUSIONS: NLP usage to extract a range of surgical outcomes, particularly postoperative complications, is accelerating across disciplines and areas of clinical outcomes research. NLP and traditional non-NLP approaches demonstrate similar performance measures, but NLP is superior in ruling out documentation of surgical outcomes.",
"BACKGROUND: Mental health supported housing services are a key component in the rehabilitation of people with severe and complex needs. They are implemented widely in the UK and other deinstitutionalised countries but there have been few empirical studies of their effectiveness due to the logistic challenges and costs of standard research methods. The Clinical Record Interactive Search (CRIS) tool, developed to de-identify and interrogate routinely recorded electronic health records, may provide an alternative to evaluate supported housing services. METHODS: The feasibility of using the Camden and Islington NHS Foundation Trust CRIS database to identify a sample of users of mental health supported accommodation services. Two approaches to data interrogation and case identification were compared; using structured fields indicating individual's accommodation status, and iterative development of free text searches of clinical notes referencing supported housing. The data used were recorded over a 10-year-period (01-January-2008 to 31-December-2017). RESULTS: Both approaches were carried out by one full-time researcher over four weeks (150 hours). Two structured fields indicating accommodation status were found, 2,140 individuals had a value in at least one of the fields representative of supported accommodation. The free text search of clinical notes returned 21,103 records pertaining to 1,105 individuals. A manual review of 10% of the notes indicated an estimated 733 of these individuals had used a supported housing service, a positive predictive value of 66.4%. Over two-thirds of the individuals returned in the free text search (768/1,105, 69.5%) were identified via the structured fields approach. Although the estimated positive predictive value was relatively high, a substantial proportion of the individuals appearing only in the free text search (337/1,105, 30.5%) are likely to be false positives. CONCLUSIONS: It is feasible and requires minimal resources to use de-identified electronic health record search tools to identify large samples of users of mental health supported housing using structured and free text fields. Further work is needed to establish the availability and completion of variables relevant to specific clinical research questions in order to fully assess the utility of electronic health records in evaluating the effectiveness of these services.",
"OBJECTIVES: Despite the availability of many frailty measures to identify older adults at risk, frailty instruments are not routinely used for risk assessment in population health management. Here, we assessed the potential value of electronic health records (EHRs) and administrative claims in providing the necessary data for variables used across various frailty instruments. SETTING AND PARTICIPANTS: The review focused on studies conducted worldwide. Participants included older people aged 50 and older. DESIGN: We identified frailty instruments published between 2011 and 2018. Frailty variables used in each of the frailty instruments were extracted, grouped, and categorized across health determinants and various clinical factors. MEASURES: The availability of the extracted frailty variables across various data sources (e.g., EHRs, administrative claims, and surveys) was evaluated by experts. RESULTS: We identified 135 frailty instruments, which contained 593 unique variables. Clinical determinants of health were the best represented variables across frailty instruments (n = 516; 87 %), unlike social and health services factors (n = 33; ∼5% and n = 32; ∼5%). Most frailty instruments require at least one variable that is not routinely available in EHRs or claims (n = 113; ∼83 %). Only 22 frailty instruments have the potential to completely rely on EHR (structured or free-text data) and/or claims data, and possibly be operationalized on a population-level. CONCLUSIONS AND IMPLICATIONS: Frailty instruments continue to be highly survey-based. More research is therefore needed to develop EHR-based frailty instruments for population health management. This will permit organizations and societies to stratify risk and better allocate resources among different older adult populations.",Administrative claims data | Electronic health records | Frailty instruments | Geriatric frailty | Population-level frailty measurement
"Natural language processing (NLP) is a technology that uses computer-based linguistics and artificial intelligence to identify and extract information from free-text data sources such as progress notes, procedure and pathology reports, and laboratory and radiologic test results. With the creation of large databases and the trajectory of health care reform, NLP holds the promise of enhancing the availability, quality, and utility of clinical information with the goal of improving documentation, quality, and efficiency of health care in the United States. To date, NLP has shown promise in automatically determining appropriate colonoscopy intervals and identifying cases of inflammatory bowel disease from electronic health records. The objectives of this review are to provide background on NLP and its associated terminology, to describe how NLP has been used thus far in the field of digestive diseases, and to identify its potential future uses.",Adenoma Detection Rate | Clinical Decision Support | Colonoscopy | Inflammatory Bowel Disease | Natural Language Processing | Performance Measures | Quality Improvement
"A major challenge for radiologists is obtaining meaningful clinical follow-up information for even a small percentage of cases encountered and dictated. Traditional methods, such as keeping medical record number follow-up lists, discussing cases with rounding clinical teams, and discussing cases at tumor boards, are effective at keeping radiologists informed of clinical outcomes but are time intensive and provide follow-up for a small subset of cases. To this end, the authors developed a picture archiving and communication system-accessible electronic health record (EHR)-integrated program called Correlate, which allows the user to easily enter free-text search queries regarding desired clinical follow-up information, with minimal interruption to the workflow. The program uses natural language processing (NLP) to process the query and parse relevant future clinical data from the EHR. Results are ordered in terms of clinical relevance, and the user is e-mailed a link to results when these are available for viewing. A customizable personal database of queries and results is also maintained for convenient future access. Correlate aids radiologists in efficiently obtaining useful clinical follow-up information that can improve patient care, help keep radiologists integrated with other specialties and referring physicians, and provide valuable experiential learning. The authors briefly review the history of automated clinical follow-up tools and discuss the design and function of the Correlate program, which uses NLP to perform intelligent prospective searches of the EHR. (©) RSNA, 2017.",
"Background: The impact of sex and gender in the incidence and severity of coronavirus disease 2019 (COVID-19) remains controversial. Here, we aim to describe the characteristics of COVID-19 patients at disease onset, with special focus on the diagnosis and management of female patients with COVID-19. Methods: We explored the unstructured free text in the electronic health records (EHRs) within the SESCAM Healthcare Network (Castilla La-Mancha, Spain). The study sample comprised the entire population with available EHRs (1,446,452 patients) from January 1st to May 1st, 2020. We extracted patients' clinical information upon diagnosis, progression, and outcome for all COVID-19 cases. Results: A total of 4,780 patients with a confirmed diagnosis of COVID-19 were identified. Of these, 2,443 (51%) were female, who were on average 1.5 years younger than male patients (61.7 ± 19.4 vs. 63.3 ± 18.3, p = 0.0025). There were more female COVID-19 cases in the 15-59-year-old interval, with the greatest sex ratio (95% confidence interval) observed in the 30-39-year-old range (1.69; 1.35-2.11). Upon diagnosis, headache, anosmia, and ageusia were significantly more frequent in females than males. Imaging by chest X-ray or blood tests were performed less frequently in females (65.5% vs. 78.3% and 49.5% vs. 63.7%, respectively), all p < 0.001. Regarding hospital resource use, females showed less frequency of hospitalization (44.3% vs. 62.0%) and intensive care unit admission (2.8% vs. 6.3%) than males, all p < 0.001. Conclusion: Our results indicate important sex-dependent differences in the diagnosis, clinical manifestation, and treatment of patients with COVID-19. These results warrant further research to identify and close the gender gap in the ongoing pandemic.",COVID-19 | SARS-CoV-2 | artificial intelligence | natural language processing | sex differences
"BACKGROUND: The use of clinical data in electronic health records for machine-learning or data analytics depends on the conversion of free text into machine-readable codes. We have examined the feasibility of capturing the neurological examination as machine-readable codes based on UMLS Metathesaurus concepts. METHODS: We created a target ontology for capturing the neurological examination using 1100 concepts from the UMLS Metathesaurus. We created a dataset of 2386 test-phrases based on 419 published neurological cases. We then mapped the test-phrases to the target ontology. RESULTS: We were able to map all of the 2386 test-phrases to 601 unique UMLS concepts. A neurological examination ontology with 1100 concepts has sufficient breadth and depth of coverage to encode all of the neurologic concepts derived from the 419 test cases. Using only pre-coordinated concepts, component ontologies of the UMLS, such as HPO, SNOMED CT, and OMIM, do not have adequate depth and breadth of coverage to encode the complexity of the neurological examination. CONCLUSION: An ontology based on a subset of UMLS has sufficient breadth and depth of coverage to convert deficits from the neurological examination into machine-readable codes using pre-coordinated concepts. The use of a small subset of UMLS concepts for a neurological examination ontology offers the advantage of improved manageability as well as the opportunity to curate the hierarchy and subsumption relationships.",Electronic health records | Neurological examination | Ontology | SNOMED CT | UMLS Metathesaurus
